Date,Time,Cards Reviewed,Duration (seconds),Avg Time Per Card (seconds),Again,Hard,Good,Easy,AI Usage Count,Accuracy Rate (%)
2025-12-21,19:44,4,188,47,0,1,3,0,0,75
2025-12-21,19:14,1,144,144,1,0,0,0,0,0
2025-12-21,19:09,1,24,24,0,0,0,1,0,100
2025-12-21,18:25,2,17,9,0,1,1,0,0,50
2025-12-21,17:47,1,207,207,0,1,0,0,0,0
2025-12-21,02:34,1,158,158,0,1,0,0,0,0
2025-12-19,20:20,1,299,299,0,0,1,0,0,100
